classCode,className,professorName,classExplanation
,,,53
RELS 3560,"Living Deliberately: Monks, Saints, and the Contemplative Life",Justin McDaniel,"Students who are not Religious Studies Majors and are not honors students must gain permission from instructor to enroll in this course. This is an experimental course in which students will experience monastic and ascetic ways of living. There will be no examinations, no formal papers, and very little required reading. However, each participant will need to be fully committed intellectually and participate in the monastic rules in the course involving restrictions on dress, technology, verbal communication, and food. The course subject matter is about ways in which nuns, monks, shamens, and swamis in various religious traditions (Buddhist, Muslim, Catholic, Jain, Taoist, Hindu, Animist, among others) have used poetry, meditation, mind-altering chemicals, exercise, magic, and self-torture to cope with pain and suffering, as well as struggle with spiritual, ethical, and metaphysical questions concerning the nature of the soul, the afterlife, and reality. Through monastic and spiritual practice, this course hopes to provide students with an opportunity to struggle with these questions themselves.
Not Offered Every Year"
FNAR 1110,The Big Picture: Mural Arts in Philadelphia,Jane Golden Heriza,"In this course, students will have the opportunity to learn everything about murals — and help create one themselves. After learning about today’s mural arts movement and how it is used for social change, students will analyze the mural design process itself. They will then team up with Philadelphia high school students and community groups to paint a large outdoor mural in West Philadelphia. 
The professor is the executive director of the Philadelphia Mural Arts Program, and Shira Walinsky, a mural arts painter and the founder of the Southeast by Southeast project, a community center for Burmese refugees in South Philadelphia. Philadelphia’s Mural Arts Program is the nation’s largest public arts program and has produced nearly 4,000 murals. "
ENGL 3308,Cooking with Words,Gabrielle Hamilton,"Taught by New York Times Magazine food columnist and restaurateur Gabrielle Hamilton, ENGL 3308 is a writing workshop that is all about food. The course will take students through the works of authors who have written about food, and students will then have the chance to write prose on a non-food topic through the lens of food. One example, listed in the course description, is a story about the end of a friendship because of how someone spoke to the waitress at a restaurant. 

Course readings will include art critic John Berger, poet Ogden Nash, and Canadian singer-songwriter KD Lang. "
COMM 4630,Surveillance Capitalism,Joseph Turow,"Have you ever wondered how Google knows to show you an ad about the thing you were just talking about with your friend? COMM 4630 delves into the term that is increasingly used to describe this encroachment of technology on our lives: surveillance capitalism. The course will examine how large companies like Google, Facebook, and Amazon use surveillance capitalism — including artificial intelligence and “big data” analyses — to increase their profits, affect the job you are offered, customize the ads you see, and much more. 

COMM 4630 is taught by Communication professor Joseph Turow, whose research includes conducting national surveys on issues surrounding media and marketing. "
"PSCI 1207, URBS 3200",Who Gets Elected and Why? The Science of Politics,Edward G. Rendell,"What does it take to get elected to office? What are the key elements of a successful political campaign? What are the crucial issues guiding campaigns and elections in the U.S. at the beginning of the 21st century? This class will address the process and results of electoral politics at the local, state, and federal levels. Course participants will study the stages and strategies of running for public office and will discuss the various influences on getting elected, including: Campaign finance and fundraising, demographics, polling, the media, staffing, economics, and party organization. Each week we will be joined by guest speakers who are nationally recognized professionals, with expertise in different areas of the campaign and election process. Students will also analyze campaign case studies and the career of the instructor himself. Edward G. Rendell is the former Mayor of Philadelphia, former Chair of the Democratic National Committee, and former Governor of Pennsylvania."
COMM 3970,New Media and Politics,Kenneth Winneg,"This course examines the evolving media landscape and the political process from three perspectives: 1) the voter, 2) political campaigns and candidates, and 3) the news media. The course opens with a broad overview of the main theories of political communication and a historical review of the role played by new media technologies in U.S. political campaigns leading up to 1996, the year the internet debuted in presidential campaigns. The course then follows this evolution from the 1996 presidential campaign to the present, in the midst of the 2022 midterm elections. We will take a deep dive into the landmark changes brought on by new media technologies to mobilize, persuade, inform, and fundraise around modern presidential campaigns. While the course takes a historical perspective, it will also focus on the contemporary landscape with special emphasis on changing voting laws, public opinion polls, Covid 19, social media and misinformation and their implications for current and future political campaigns, journalism, and voter participation."
CIS 5120,Introduction to Human Computer Interaction,Danaë Metaxa,"In this course, you will learn the essentials of human-computer interaction (HCI). Over the course of a semester, you will learn how to design interactive systems that satisfy and delight users by undertaking the human-centered design process, from ideation to prototyping, implementation, and assessment with human users. You will learn key tools in the HCI toolkit, including need-finding, user studies, visual design, cognitive models, demo'ing, ethical considerations, and writing about your designs. This course also provides a primer on several areas of emerging technology in HCI, such as human-AI interaction and education technology. To hone your craft as an HCI practitioner, during this course you will undertake a group project to design an innovative user interface. The final submission will include a working interactive prototype, demonstrations of the interface at a public departmental design showcase, and a written reflection on your design findings. Prerequisite: prior programming experience"
MGMT 2300,Entrepreneurship,Tyler Wry,"How do you take a good idea and turn it into a successful venture? Whether you plan to become a founder, investor, mentor, partner, or early employee of a startup company, this course will take you through the entire journey of new venture creation and development. MGMT 230 is a project-based survey course designed to provide an overview of the entrepreneurial process and give you practical hands-on experience with new venture development. You and a team will have the chance to ideate, test, and develop a pitch for an early-stage startup by incorporating material from class lectures, simulations, labs, and class discussions. By the end of the course, you will have a better understanding of what it takes to create a successful startup, as well as proven techniques for identifying and testing new market opportunities, acquiring resources, bringing new products and services to market, scaling, and exiting new ventures."
ARCH 8050,Intro to Cyberphysical Systems,Jeffrey Anderson,"Directly supports ARCH 8010 Material Agencies I: Section 2. This seminar will teach participants to design and assemble electronic circuits using sensors/actuators and micro-controllers, and to program digital and analogue means of data exchange. Students will develop a closed or open loop reactive system that consists of embedded sensor systems that will operate within the Design Studio project prototype, and utilizes feedback from sensors to drive designed affects (E.g. kinetic, lighting, variations in porosity.). The course will consider degrees of control, feedback, energy and force in relation to interactions of matter, space and active bodies (human and non-human). Participants will learn how to design electric circuits, solder and weld these and to integrate circuits with micro-processors, sensors and actuators. Exact equipment and methods will vary over time as these technologies evolve rapidly. At present possible micro-controllers utilized include Arduino, Raspberri Pi, Odroid, Intel Nuc, Atom and others. Sensors such as flex, pressure and proximity sensors will be utilized. Possible forms of actuation include servo and stepper motors, linear actuators, NiTinol muscle wire, pneumatic actuators. A Programming Language will be utilized to for the writing of simple control algorithms that clarify how input and output data is processed and acted upon, with a particular focus on leveraging physical world actions within a designed control loop where possible."
