name,explanation
180 Degrees Consulting,"We are a student group at the University of Pennsylvania that consults for social-impact focused businesses. We create value for them through a variety of projects, including new product development, industry research, and marketing campaigns.

Our goal is to strengthen the ability of socially conscious organizations to achieve high-impact social outcomes. We also aim to foster an environment in which consultants can grow as professionals, as individuals, and as a community.

We're excited to meet you! Please sign up for our listserv here and visit our Facebook page to stay up to date with recruiting information: https://www.facebook.com/penn180dc. All of the relevant links for recruiting can be found on our linktree."
Alpha Iota Gamma,"Alpha Iota Gamma, or ΑIΓ for short! ΑIΓ is the first and only professional healthcare fraternity at the University of Pennsylvania. Founded in the spring of 2009, ΑIΓ serves as a professional, academic, and social foundation for students interested in healthcare.

All Freshmen, Sophomores, and Juniors interested in healthcare are welcome! This includes anyone interested in bioengineering, healthcare management, health policy, medicine, nursing, pre-vet, pre-dental, research, and SO much more."
Aspiring Educators at Penn,"Aspiring Educators at Penn is a community of undergraduate students interested in K-12 education. We provide mentorship opportunities, social events, and academic and career resources. The goal of Aspiring Educators at Penn is to connect undergraduate students interested in the field of education and to provide a space for students to explore careers in the field with a particular focus on the teaching profession."
Assistive Devices and Prosthetic Technologies (ADAPT),"Penn Assistive Devices and Prosthetic Technologies (ADAPT) is a group of students at the University of Pennsylvania who are passionate about assistive and rehabilitative technologies. With a range of backgrounds and skills, we work to design, build and improve assistive devices for individuals living with disabilities, including cerebral palsy and limb loss. We aim to apply the skills we learn at Penn from many disciplines, such as engineering and business, to create impactful projects that engage outside communities. "
Association for Women in Math,"The University of Pennsylvania Chapter of the Association for Women in Mathematics is an active student-run organization full of math, enthusiasm, outreach and support. 

Our Mission: We are a student-run chapter that is organized and will be operated for educational and scientific purposes to promote the following: 

an increased knowledge of and greater interest in the mathematical sciences, including pure and applied mathematics, statistics, and their applications; 
a greater understanding of the contributions of women in the mathematical sciences; and
mentoring and encouraging women and girls as they prepare for careers in the mathematical sciences. "
Biomedical Engineering Society,"The Biomedical Engineering Society (BMES) is the undergraduate professional society for the bioengineering department. We serve as a liaison between the faculty and the students, organize social events for BE students to find community outside of the classroom, and host career and networking events."
Black Pre-Law Association,"The Black Pre-Law Association is a student group at The University of Pennsylvania that aims to provide those with law school aspirations with encouragement, motivation, and access to the multiple resources that will establish them as competitive candidates for law school. It hopes to educate members on current legal matters and trends so as to improve understanding of the field of law and inform the choice to enter a corresponding line of work. BPLA facilitates networking and mentorship opportunities that create supportive and information-sharing relationships with other law professionals that are underrepresented minorities."
"Black Wharton Undergraduate
Association","Black Wharton Undergraduate Association (BW) is a student-run organization dedicated to enhancing the collegiate experience and accelerating the professional aspirations of our members. In order to meet these goals, BW provides its members with internship information, interactive business conferences, community service opportunities, and alumni networking among other initiatives. BW holds monthly general body meetings (GBMs) to foster community and professionally develop members of the Black Penn community. BW is composed of high-potential students whose interests vary across numerous industries. Our organization serves as an intermediary between our diverse corporate sponsors and our members as well as a support system for our members’ academic, personal, and pre-professional endeavours."
BlackGen Capital,"The BlackGen Capital chapter at the University of Pennsylvania serves to provide valuable hands-on experience to minorities who have historically been underrepresented in the financial services industry. These underrepresented minorities are students that identify as Black/African-American, Hispanic, or Native American. The purpose of BlackGen Capital at the University of Pennsylvania is to break down barriers that have prohibited underrepresented minorities from pursuing successful careers in finance and business by creating an environment where like-minded individuals can learn from & network with each other, and by providing effective educational resources that can be leveraged at any time. Our focus is to not only cater to students who already have exposure to this industry but to also attract students who do not have any experience with finance and are highly interested in learning more."
"
Collegium Institute Student Association at Penn","Collegium Institute Student Association at Penn is a student group at the University of Pennsylvania, working as a part of the Collegium Institute. Collegium Institute is a vibrant intellectual community of students and faculty interested in the interdisciplinary, humanistic, and communal pursuit of knowledge. We offer seminars, fellowships, special events, and other programs designed to enrich academic culture by drawing from the Catholic intellectual tradition and the liberal arts tradition of humane studies more broadly. Our members represent a variety of academic disciplines. Some are religious—many are not. All are interested in exploring “catholic,” or universal, questions and engaging in rich, cross-disciplinary conversations. While the Collegium community includes Undergraduate Fellows, Graduate Fellows, and Faculty Fellows, you don’t need to be an official Fellow to participate in our programs. "
Common Cents,Common Cents is a student organization at the University of Pennsylvania and a national nonprofit seeking to empower college & underserved high school students with the knowledge to manage their money and reach financial independence. Our committees work together to hold events and workshops and create educational resources tailored to high school and college students.
Consult for America,"We are Consult for America (CFA), a student group at the University of Pennsylvania committed to helping both local entrepreneurs and students reach their maximum business and professional potential. We offering pro-bono consulting services to small businesses, startups, and nonprofits in Philadelphia, and we provide Penn students with the opportunity to cultivate their consulting skills and deepen their community involvement."
